STATION,DATE,PRCP,TMAX,TMIN,YEAR,MONTH,DAY,TEMP
USW00013874,1930-05-06,0.0,30.0,19.4,1930,5,6,24.7
USW00023174,1966-01-06,0.0,22.2,6.7,1966,1,6,14.45
USW00094728,1953-02-09,0.0,5.6,1.7,1953,2,9,3.65
USW00094728,2003-09-05,0.0,25.6,17.8,2003,9,5,21.7
USW00094728,2025-09-21,0.0,21.7,14.4,2025,9,21,18.05
USW00094728,1911-11-28,10.4,15.0,10.0,1911,11,28,12.5
USW00094728,1923-09-09,0.0,27.8,15.6,1923,9,9,21.7
USW00013874,1943-08-09,0.0,32.2,21.1,1943,8,9,26.65
USW00013874,1943-09-23,0.0,29.4,15.6,1943,9,23,22.5
USW00023174,2010-07-17,0.0,24.4,17.2,2010,7,17,20.8
USW00094728,2020-06-30,0.0,26.7,19.4,2020,6,30,23.05
USW00094728,1950-10-08,0.0,19.4,13.3,1950,10,8,16.35
USW00023174,1982-10-28,0.0,25.6,12.8,1982,10,28,19.2
USW00094728,2012-08-24,0.0,30.6,20.6,2012,8,24,25.6
USW00013874,1933-11-01,0.0,24.4,15.6,1933,11,1,20.0
USW00023174,2013-04-29,0.0,21.1,14.4,2013,4,29,17.75
USW00023174,1966-09-29,1.0,21.7,19.4,1966,9,29,20.55
USW00023174,1951-02-20,0.0,17.8,5.0,1951,2,20,11.4
USW00094728,1992-02-05,0.0,2.8,-3.9,1992,2,5,-0.55
USW00094728,1977-03-28,3.0,9.4,7.2,1977,3,28,8.3
USW00094728,1907-03-06,9.1,4.4,-6.1,1907,3,6,-0.85
USW00013874,1948-09-19,0.0,29.4,15.0,1948,9,19,22.2
USW00013874,1938-01-18,0.0,17.8,7.8,1938,1,18,12.8
USW00023174,2009-12-26,0.0,15.6,8.3,2009,12,26,11.95
USW00013874,1954-03-31,0.5,27.2,6.7,1954,3,31,16.95
USW00013874,1936-09-25,0.0,26.1,13.3,1936,9,25,19.7
USW00094728,2020-03-20,0.0,25.0,8.3,2020,3,20,16.65
USW00023174,1989-06-16,0.0,21.1,15.6,1989,6,16,18.35
USW00023174,1969-04-30,0.0,20.0,15.0,1969,4,30,17.5
USW00023174,1967-04-07,5.3,17.2,11.7,1967,4,7,14.45
USW00094728,1945-12-26,0.0,11.1,1.7,1945,12,26,6.4
USW00094728,1983-10-26,0.8,12.8,7.2,1983,10,26,10.0
USW00023174,2024-10-11,0.0,20.6,15.0,2024,10,11,17.8
USW00023174,2013-12-07,6.6,14.4,8.3,2013,12,7,11.35
USW00094728,1974-09-18,0.0,25.0,17.2,1974,9,18,21.1
USW00013874,1942-11-27,0.0,7.2,0.0,1942,11,27,3.6
USW00023174,1959-09-23,0.0,23.9,17.8,1959,9,23,20.85
USW00023174,2018-09-27,0.0,21.7,18.3,2018,9,27,20.0
USW00094728,1978-03-12,0.0,13.3,3.9,1978,3,12,8.6
USW00023174,2002-08-30,0.0,21.7,16.1,2002,8,30,18.9
USW00094728,1955-08-17,0.0,30.0,23.9,1955,8,17,26.95
USW00094728,1909-12-17,0.0,3.9,-0.6,1909,12,17,1.65
USW00094728,1976-09-15,0.0,25.0,18.9,1976,9,15,21.95
USW00094728,2002-01-18,0.0,3.3,-1.7,2002,1,18,0.8
USW00023174,2016-09-11,0.0,21.7,17.2,2016,9,11,19.45
USW00094728,1982-08-11,5.3,24.4,15.6,1982,8,11,20.0
USW00094728,1977-07-08,2.5,31.1,21.7,1977,7,8,26.4
USW00013874,1932-08-07,0.5,31.1,21.1,1932,8,7,26.1
USW00094728,1941-01-14,0.0,-3.9,-12.2,1941,1,14,-8.05
USW00023174,1972-05-14,0.0,22.8,14.4,1972,5,14,18.6
USW00013874,1960-07-02,0.0,35.6,23.9,1960,7,2,29.75
USW00013874,1953-09-14,0.0,27.8,12.2,1953,9,14,20.0
USW00094728,1882-10-06,2.3,16.7,15.6,1882,10,6,16.15
USW00094728,1883-04-28,1.3,16.1,8.9,1883,4,28,12.5
USW00094728,1912-03-24,34.8,2.8,0.6,1912,3,24,1.7
USW00094728,1993-10-01,0.0,17.2,6.1,1993,10,1,11.65
USW00094728,1904-05-01,0.0,21.7,12.2,1904,5,1,16.95
USW00094728,1962-12-11,0.0,-3.3,-7.8,1962,12,11,-5.55
USW00013874,1947-06-19,0.0,33.3,21.7,1947,6,19,27.5
USW00094728,1883-08-07,0.0,24.4,15.0,1883,8,7,19.7
USW00094728,2013-12-04,0.0,11.1,5.0,2013,12,4,8.05
USW00023174,1959-12-10,0.0,20.0,12.2,1959,12,10,16.1
USW00094728,1890-12-22,0.3,5.6,2.8,1890,12,22,4.2
USW00023174,2014-12-01,0.0,20.0,14.4,2014,12,1,17.2
USW00013874,1939-05-25,0.8,33.3,18.3,1939,5,25,25.8
USW00094728,1983-04-01,0.0,13.3,3.9,1983,4,1,8.6
USW00094728,1871-05-24,0.0,23.9,10.6,1871,5,24,17.25
USW00013874,1961-06-26,23.9,21.1,18.3,1961,6,26,19.7
USW00023174,2015-03-06,0.0,26.1,10.0,2015,3,6,18.05
USW00094728,1907-02-23,0.0,-6.1,-12.2,1907,2,23,-9.15
USW00023174,2006-07-24,0.0,30.6,22.2,2006,7,24,26.4
USW00094728,1954-05-26,0.0,23.9,13.9,1954,5,26,18.9
USW00094728,1906-10-21,9.9,16.7,15.0,1906,10,21,15.85
USW00094728,1981-03-30,7.9,18.3,13.3,1981,3,30,15.8
USW00023174,1970-07-14,0.0,22.8,16.7,1970,7,14,19.75
USW00023174,2002-04-14,0.0,16.7,12.8,2002,4,14,14.75
USW00094728,1935-10-08,0.0,15.0,3.9,1935,10,8,9.45
USW00094728,1933-02-16,0.0,1.1,-6.7,1933,2,16,-2.8
USW00013874,1959-01-24,0.0,13.9,0.0,1959,1,24,6.95
USW00094728,1931-12-22,10.7,11.1,7.2,1931,12,22,9.15
USW00094728,1877-11-13,0.0,8.3,2.8,1877,11,13,5.55
USW00094728,1984-01-01,0.0,0.0,-3.9,1984,1,1,-1.95
USW00094728,2003-09-10,0.0,24.4,13.9,2003,9,10,19.15
USW00094728,1930-08-31,0.0,30.6,21.1,1930,8,31,25.85
USW00094728,1927-05-30,0.0,22.8,11.7,1927,5,30,17.25
USW00023174,2023-12-03,0.0,18.9,9.4,2023,12,3,14.15
USW00013874,1933-03-27,0.0,19.4,5.6,1933,3,27,12.5
USW00094728,1950-09-04,0.0,26.1,15.6,1950,9,4,20.85
USW00013874,1945-03-03,6.9,20.0,13.3,1945,3,3,16.65
USW00023174,1975-03-01,0.0,15.0,10.0,1975,3,1,12.5
USW00023174,1964-05-16,0.0,17.8,11.7,1964,5,16,14.75
USW00094728,2008-09-15,0.0,28.3,18.3,2008,9,15,23.3
USW00094728,1942-04-09,21.6,9.4,0.6,1942,4,9,5.0
USW00094728,2005-10-25,32.0,10.0,3.9,2005,10,25,6.95
USW00094728,1986-01-06,0.0,2.8,-3.9,1986,1,6,-0.55
USW00094728,1948-07-29,0.0,31.7,22.2,1948,7,29,26.95
USW00094728,2020-06-22,0.0,32.2,22.2,2020,6,22,27.2
USW00094728,1966-03-17,0.0,12.2,0.6,1966,3,17,6.4
USW00094728,2023-04-08,0.0,12.2,2.8,2023,4,8,7.5
USW00023174,2004-11-16,0.0,22.8,12.8,2004,11,16,17.8
USW00094728,1883-12-25,9.7,-0.6,-2.2,1883,12,25,-1.4
USW00023174,1979-11-26,0.0,18.9,12.8,1979,11,26,15.85
USW00023174,1981-04-23,0.0,20.0,14.4,1981,4,23,17.2
USW00094728,2022-05-19,18.5,18.9,12.2,2022,5,19,15.55
USW00094728,1902-02-10,0.0,0.0,-7.8,1902,2,10,-3.9
USW00094728,2024-08-01,0.0,35.0,24.4,2024,8,1,29.7
USW00094728,1923-10-13,0.0,20.0,14.4,1923,10,13,17.2
USW00023174,1976-12-02,0.0,27.8,10.0,1976,12,2,18.9
USW00094728,2007-02-26,7.1,2.2,-1.1,2007,2,26,0.55
USW00013874,1940-04-22,0.0,22.2,7.2,1940,4,22,14.7
USW00094728,2013-10-24,0.0,12.2,5.0,2013,10,24,8.6
USW00094728,1953-10-18,0.0,24.4,12.8,1953,10,18,18.6
USW00094728,1963-09-06,8.1,13.3,9.4,1963,9,6,11.35
USW00094728,1910-11-24,0.0,11.7,5.6,1910,11,24,8.65
USW00094728,1945-06-17,1.5,33.9,23.3,1945,6,17,28.6
USW00094728,1995-04-18,0.0,21.1,7.2,1995,4,18,14.15
USW00094728,1965-01-18,0.0,-3.9,-11.1,1965,1,18,-7.5
USW00094728,1897-11-27,16.8,16.1,-0.6,1897,11,27,7.75
USW00013874,1941-06-14,3.6,29.4,18.9,1941,6,14,24.15
USW00094728,1870-11-29,0.0,18.3,6.1,1870,11,29,12.2
USW00023174,2000-08-21,0.0,24.4,17.8,2000,8,21,21.1
USW00094728,1967-11-07,0.0,5.6,2.2,1967,11,7,3.9
USW00023174,1966-10-01,0.0,25.6,18.9,1966,10,1,22.25
USW00094728,1899-04-01,0.0,5.0,0.0,1899,4,1,2.5
USW00094728,1880-07-30,0.0,26.1,15.0,1880,7,30,20.55
USW00094728,1871-04-09,0.0,28.3,16.7,1871,4,9,22.5
USW00094728,1973-05-31,0.0,25.6,15.6,1973,5,31,20.6
USW00013874,1936-01-16,0.0,18.3,2.2,1936,1,16,10.25
USW00094728,1949-01-20,0.0,4.4,-1.7,1949,1,20,1.35
USW00094728,2007-06-10,0.0,22.2,16.7,2007,6,10,19.45
USW00094728,1961-03-31,3.3,8.9,0.6,1961,3,31,4.75
USW00023174,1948-09-07,0.0,20.6,13.9,1948,9,7,17.25
USW00094728,1943-01-03,0.0,1.1,-1.1,1943,1,3,0.0
USW00094728,1970-01-24,0.0,-2.8,-9.4,1970,1,24,-6.1
USW00094728,1869-10-05,0.0,15.0,10.0,1869,10,5,12.5
USW00094728,1893-04-18,0.0,13.3,4.4,1893,4,18,8.85
USW00094728,1910-02-09,5.6,4.4,0.0,1910,2,9,2.2
USW00094728,1881-11-09,3.8,20.0,12.2,1881,11,9,16.1
USW00023174,2012-04-26,3.0,19.4,13.9,2012,4,26,16.65
USW00023174,2018-10-29,0.0,20.0,14.4,2018,10,29,17.2
USW00094728,1875-11-27,0.0,8.9,1.7,1875,11,27,5.3
USW00094728,1968-09-05,0.0,22.2,18.9,1968,9,5,20.55
USW00094728,1975-06-10,0.0,24.4,11.7,1975,6,10,18.05
USW00023174,1947-04-16,0.0,20.6,12.2,1947,4,16,16.4
USW00094728,1952-04-12,0.0,8.3,1.1,1952,4,12,4.7
USW00094728,2019-01-16,0.0,3.9,-1.0,2019,1,16,1.45
USW00094728,1921-10-06,0.0,21.7,10.0,1921,10,6,15.85
USW00023174,2017-07-23,0.0,25.0,19.4,2017,7,23,22.2
USW00094728,1942-11-15,0.0,6.1,-3.3,1942,11,15,1.4
USW00094728,1888-07-16,0.0,26.7,15.6,1888,7,16,21.15
USW00094728,1888-07-31,1.0,28.9,19.4,1888,7,31,24.15
USW00094728,1993-07-02,19.3,20.6,18.3,1993,7,2,19.45
USW00094728,1874-05-28,0.0,22.8,13.9,1874,5,28,18.35
USW00094728,1910-07-05,0.0,28.3,18.3,1910,7,5,23.3
USW00094728,1921-05-09,0.0,26.7,12.8,1921,5,9,19.75
USW00023174,1996-06-20,0.0,22.2,16.1,1996,6,20,19.15
USW00094728,1957-01-08,0.0,5.6,0.6,1957,1,8,3.1
USW00094728,1929-01-28,0.0,0.6,-5.6,1929,1,28,-2.5
USW00094728,1979-07-10,0.5,26.1,18.9,1979,7,10,22.5
USW00094728,2016-06-07,0.0,29.4,17.8,2016,6,7,23.6
USW00094728,1894-02-08,0.0,8.9,2.2,1894,2,8,5.55
USW00013874,1932-06-17,0.0,30.6,17.8,1932,6,17,24.2
USW00094728,1972-01-18,0.0,7.8,-1.7,1972,1,18,3.05
USW00023174,2015-11-26,0.0,17.8,8.9,2015,11,26,13.35
USW00023174,1969-04-06,0.0,15.6,8.3,1969,4,6,11.95
USW00094728,1963-11-25,0.0,7.8,1.7,1963,11,25,4.75
USW00094728,1983-11-29,0.8,12.2,4.4,1983,11,29,8.3
USW00094728,1977-06-01,4.1,21.1,15.6,1977,6,1,18.35
USW00023174,2009-09-09,0.0,23.3,17.8,2009,9,9,20.55
USW00094728,1899-01-31,2.8,-3.3,-8.3,1899,1,31,-5.8
USW00094728,2023-03-01,0.0,6.7,0.6,2023,3,1,3.65
USW00023174,1956-05-03,0.0,17.8,12.8,1956,5,3,15.3
USW00013874,1933-12-26,7.9,16.7,-1.7,1933,12,26,7.5
USW00094728,1990-05-17,14.2,17.2,13.3,1990,5,17,15.25
USW00094728,2020-03-04,0.0,13.3,7.2,2020,3,4,10.25
USW00094728,2015-07-29,0.0,35.6,25.6,2015,7,29,30.6
USW00094728,1942-11-12,0.0,7.8,1.7,1942,11,12,4.75
USW00023174,1988-04-14,10.2,16.7,10.6,1988,4,14,13.65
USW00023174,1968-03-23,0.0,20.0,10.0,1968,3,23,15.0
USW00094728,1984-08-14,0.0,31.7,22.8,1984,8,14,27.25
USW00013874,1959-11-26,0.0,21.1,2.8,1959,11,26,11.95
USW00094728,1902-07-25,8.1,20.6,18.3,1902,7,25,19.45
USW00023174,1977-12-07,0.0,16.7,11.7,1977,12,7,14.2
USW00094728,1974-03-31,4.6,8.3,2.8,1974,3,31,5.55
USW00094728,1980-12-21,0.0,-2.8,-8.9,1980,12,21,-5.85
USW00094728,1953-11-22,0.3,18.9,12.8,1953,11,22,15.85
USW00094728,2022-09-28,0.0,20.6,11.7,2022,9,28,16.15
USW00013874,1953-03-10,0.5,13.3,6.1,1953,3,10,9.7
USW00094728,1929-09-06,6.4,27.2,18.3,1929,9,6,22.75
USW00094728,1917-03-31,0.0,16.7,5.6,1917,3,31,11.15
USW00094728,2023-07-23,0.0,31.1,20.6,2023,7,23,25.85
USW00013874,1961-05-13,0.0,25.6,11.7,1961,5,13,18.65
USW00094728,1934-11-16,0.0,8.3,4.4,1934,11,16,6.35
USW00094728,2006-07-31,0.0,32.2,23.3,2006,7,31,27.75
USW00023174,1949-05-10,0.0,19.4,11.7,1949,5,10,15.55
USW00094728,1954-11-03,3.6,10.0,3.9,1954,11,3,6.95
USW00023174,1955-07-01,0.0,21.7,16.1,1955,7,1,18.9
USW00013874,1945-04-17,23.4,22.2,12.8,1945,4,17,17.5
USW00023174,2009-02-14,0.0,12.2,5.0,2009,2,14,8.6
USW00094728,2010-08-22,42.9,26.7,20.6,2010,8,22,23.65
USW00094728,1961-10-12,0.0,23.3,16.1,1961,10,12,19.7
USW00023174,2015-02-01,0.0,21.1,10.0,2015,2,1,15.55
USW00023174,1990-03-06,0.0,16.1,7.8,1990,3,6,11.95
USW00023174,1971-12-09,0.0,15.0,3.9,1971,12,9,9.45
USW00013874,1935-02-06,0.0,17.8,3.3,1935,2,6,10.55
USW00094728,1904-12-12,6.1,2.2,-5.0,1904,12,12,-1.4
USW00094728,1891-08-18,2.3,24.4,21.1,1891,8,18,22.75
USW00013874,1947-08-16,0.0,30.6,19.4,1947,8,16,25.0
USW00094728,1907-02-13,0.0,-0.6,-12.8,1907,2,13,-6.7
USW00094728,1953-08-18,0.0,27.2,16.7,1953,8,18,21.95
USW00023174,1987-04-21,0.0,31.7,14.4,1987,4,21,23.05
USW00094728,1924-07-31,1.3,30.0,20.0,1924,7,31,25.0
USW00023174,1947-02-01,0.0,25.6,7.8,1947,2,1,16.7
USW00094728,1926-05-19,4.6,23.3,15.6,1926,5,19,19.45
USW00094728,1969-06-27,0.0,31.1,20.6,1969,6,27,25.85
USW00094728,1892-05-12,0.0,17.2,12.2,1892,5,12,14.7
USW00023174,2002-02-14,0.0,17.8,9.4,2002,2,14,13.6
USW00023174,1999-09-29,0.0,31.7,13.9,1999,9,29,22.8
USW00023174,2000-06-04,0.0,22.8,16.1,2000,6,4,19.45
USW00013874,1965-04-19,6.6,24.4,14.4,1965,4,19,19.4
USW00013874,1944-08-02,0.0,31.7,21.1,1944,8,2,26.4
USW00094728,1950-07-18,0.0,30.6,21.1,1950,7,18,25.85
USW00094728,1964-04-27,0.3,17.2,6.7,1964,4,27,11.95
USW00094728,1915-04-03,28.7,4.4,-1.7,1915,4,3,1.35
USW00094728,2005-11-14,0.0,18.3,10.0,2005,11,14,14.15
USW00023174,1959-04-04,0.0,22.8,15.0,1959,4,4,18.9
USW00094728,1907-12-24,0.0,10.0,3.3,1907,12,24,6.65
USW00094728,2011-11-16,18.5,15.0,11.7,2011,11,16,13.35
USW00094728,1891-01-01,8.4,7.2,-3.9,1891,1,1,1.65
USW00094728,1948-03-16,6.4,19.4,11.1,1948,3,16,15.25
USW00023174,1977-11-20,0.0,18.3,10.0,1977,11,20,14.15
USW00023174,1981-09-12,0.0,22.2,17.2,1981,9,12,19.7
USW00094728,1963-02-08,0.0,-3.9,-18.9,1963,2,8,-11.4
USW00094728,1987-04-23,0.0,11.7,8.3,1987,4,23,10.0
USW00094728,1969-10-05,0.0,18.9,10.6,1969,10,5,14.75
USW00013874,1957-08-09,0.0,32.8,18.9,1957,8,9,25.85
USW00023174,1961-04-01,0.0,18.3,9.4,1961,4,1,13.85
USW00094728,1970-03-15,0.0,3.9,-2.8,1970,3,15,0.55
USW00023174,1977-05-13,0.0,20.0,11.7,1977,5,13,15.85
USW00094728,1894-10-27,0.0,16.7,8.9,1894,10,27,12.8
USW00023174,2023-04-14,0.0,17.2,11.7,2023,4,14,14.45
USW00094728,1915-06-15,28.7,24.4,18.3,1915,6,15,21.35
USW00094728,1928-03-14,2.3,12.2,5.0,1928,3,14,8.6
USW00023174,1956-02-06,0.0,16.7,7.2,1956,2,6,11.95
USW00023174,1956-12-14,0.0,18.9,10.0,1956,12,14,14.45
USW00023174,2025-06-23,0.0,23.3,16.7,2025,6,23,20.0
USW00023174,1972-08-21,0.0,30.6,18.3,1972,8,21,24.45
USW00023174,2005-02-17,8.1,22.8,12.8,2005,2,17,17.8
USW00094728,1963-06-21,0.0,21.1,12.8,1963,6,21,16.95
USW00094728,1986-10-10,0.0,12.8,5.6,1986,10,10,9.2
USW00013874,1942-09-28,0.0,19.4,6.1,1942,9,28,12.75
USW00023174,1994-05-14,0.0,20.0,15.0,1994,5,14,17.5
